filepath, plane
data/autoencode/train/0000.npz, 0
data/autoencode/train/0000.npz, 1
data/autoencode/train/0000.npz, 2
data/autoencode/train/0000.npz, 3
data/autoencode/train/0000.npz, 4
data/autoencode/train/0000.npz, 5
data/autoencode/train/0000.npz, 6
data/autoencode/train/0000.npz, 7
data/autoencode/train/0000.npz, 8
data/autoencode/train/0000.npz, 9
data/autoencode/train/0000.npz, 10
data/autoencode/train/0000.npz, 11
data/autoencode/train/0000.npz, 12
data/autoencode/train/0000.npz, 13
data/autoencode/train/0000.npz, 14
data/autoencode/train/0001.npz, 0
data/autoencode/train/0001.npz, 1
data/autoencode/train/0001.npz, 2
data/autoencode/train/0001.npz, 3
data/autoencode/train/0001.npz, 4
data/autoencode/train/0001.npz, 5
data/autoencode/train/0001.npz, 6
data/autoencode/train/0001.npz, 7
data/autoencode/train/0001.npz, 8
data/autoencode/train/0001.npz, 9
data/autoencode/train/0001.npz, 10
data/autoencode/train/0001.npz, 11
data/autoencode/train/0001.npz, 12
data/autoencode/train/0001.npz, 13
data/autoencode/train/0001.npz, 14
data/autoencode/train/0002.npz, 0
data/autoencode/train/0002.npz, 1
data/autoencode/train/0002.npz, 2
data/autoencode/train/0002.npz, 3
data/autoencode/train/0002.npz, 4
data/autoencode/train/0002.npz, 5
data/autoencode/train/0002.npz, 6
data/autoencode/train/0002.npz, 7
data/autoencode/train/0002.npz, 8
data/autoencode/train/0002.npz, 9
data/autoencode/train/0002.npz, 10
data/autoencode/train/0002.npz, 11
data/autoencode/train/0002.npz, 12
data/autoencode/train/0002.npz, 13
data/autoencode/train/0002.npz, 14
data/autoencode/train/0002.npz, 15
data/autoencode/train/0002.npz, 16
data/autoencode/train/0002.npz, 17
data/autoencode/train/0002.npz, 18
data/autoencode/train/0002.npz, 19
data/autoencode/train/0002.npz, 20
data/autoencode/train/0002.npz, 21
data/autoencode/train/0002.npz, 22
data/autoencode/train/0002.npz, 23
data/autoencode/train/0002.npz, 24
data/autoencode/train/0002.npz, 25
data/autoencode/train/0002.npz, 26
data/autoencode/train/0002.npz, 27
data/autoencode/train/0002.npz, 28
data/autoencode/train/0002.npz, 29
data/autoencode/train/0002.npz, 30
data/autoencode/train/0002.npz, 31
data/autoencode/train/0002.npz, 32
data/autoencode/train/0002.npz, 33
data/autoencode/train/0002.npz, 34
data/autoencode/train/0002.npz, 35
data/autoencode/train/0002.npz, 36
data/autoencode/train/0002.npz, 37
data/autoencode/train/0002.npz, 38
data/autoencode/train/0002.npz, 39
data/autoencode/train/0002.npz, 40
data/autoencode/train/0002.npz, 41
data/autoencode/train/0002.npz, 42
data/autoencode/train/0002.npz, 43
data/autoencode/train/0002.npz, 44
data/autoencode/train/0002.npz, 45
data/autoencode/train/0002.npz, 46
data/autoencode/train/0002.npz, 47
data/autoencode/train/0002.npz, 48
data/autoencode/train/0002.npz, 49
data/autoencode/train/0002.npz, 50
data/autoencode/train/0002.npz, 51
data/autoencode/train/0002.npz, 52
data/autoencode/train/0002.npz, 53
data/autoencode/train/0002.npz, 54
