filepath, plane, class
data/classifier/train/0000.npz, 0, 4
data/classifier/train/0000.npz, 1, 4
data/classifier/train/0000.npz, 2, 4
data/classifier/train/0000.npz, 3, 4
data/classifier/train/0000.npz, 4, 4
data/classifier/train/0000.npz, 5, 4
data/classifier/train/0000.npz, 6, 4
data/classifier/train/0000.npz, 7, 4
data/classifier/train/0000.npz, 8, 4
data/classifier/train/0000.npz, 9, 4
data/classifier/train/0000.npz, 10, 4
data/classifier/train/0000.npz, 11, 4
data/classifier/train/0000.npz, 12, 4
data/classifier/train/0000.npz, 13, 4
data/classifier/train/0000.npz, 14, 4
data/classifier/train/0001.npz, 0, 2
data/classifier/train/0001.npz, 1, 2
data/classifier/train/0001.npz, 2, 2
data/classifier/train/0001.npz, 3, 2
data/classifier/train/0001.npz, 4, 2
data/classifier/train/0001.npz, 5, 2
data/classifier/train/0001.npz, 6, 2
data/classifier/train/0001.npz, 7, 2
data/classifier/train/0001.npz, 8, 2
data/classifier/train/0001.npz, 9, 2
data/classifier/train/0001.npz, 10, 2
data/classifier/train/0001.npz, 11, 2
data/classifier/train/0001.npz, 12, 2
data/classifier/train/0001.npz, 13, 2
data/classifier/train/0001.npz, 14, 2
data/classifier/train/0001.npz, 15, 2
data/classifier/train/0001.npz, 16, 2
data/classifier/train/0001.npz, 17, 2
data/classifier/train/0001.npz, 18, 2
data/classifier/train/0001.npz, 19, 2
data/classifier/train/0001.npz, 20, 2
data/classifier/train/0002.npz, 0, 4
data/classifier/train/0002.npz, 1, 4
data/classifier/train/0002.npz, 2, 4
data/classifier/train/0002.npz, 3, 4
data/classifier/train/0002.npz, 4, 4
data/classifier/train/0002.npz, 5, 4
data/classifier/train/0002.npz, 6, 4
data/classifier/train/0002.npz, 7, 4
data/classifier/train/0002.npz, 8, 4
data/classifier/train/0002.npz, 9, 4
data/classifier/train/0002.npz, 10, 4
data/classifier/train/0002.npz, 11, 4
data/classifier/train/0002.npz, 12, 4
data/classifier/train/0002.npz, 13, 4
data/classifier/train/0002.npz, 14, 4
data/classifier/train/0003.npz, 0, 4
data/classifier/train/0003.npz, 1, 4
data/classifier/train/0003.npz, 2, 4
data/classifier/train/0003.npz, 3, 4
data/classifier/train/0003.npz, 4, 4
data/classifier/train/0003.npz, 5, 4
data/classifier/train/0003.npz, 6, 4
data/classifier/train/0003.npz, 7, 4
data/classifier/train/0003.npz, 8, 4
data/classifier/train/0003.npz, 9, 4
data/classifier/train/0003.npz, 10, 4
data/classifier/train/0003.npz, 11, 4
data/classifier/train/0003.npz, 12, 4
data/classifier/train/0003.npz, 13, 4
data/classifier/train/0003.npz, 14, 4
data/classifier/train/0004.npz, 0, 2
data/classifier/train/0004.npz, 1, 2
data/classifier/train/0004.npz, 2, 2
data/classifier/train/0004.npz, 3, 2
data/classifier/train/0004.npz, 4, 2
data/classifier/train/0004.npz, 5, 2
data/classifier/train/0004.npz, 6, 2
data/classifier/train/0004.npz, 7, 2
data/classifier/train/0004.npz, 8, 2
data/classifier/train/0004.npz, 9, 2
data/classifier/train/0004.npz, 10, 2
data/classifier/train/0004.npz, 11, 2
data/classifier/train/0004.npz, 12, 2
data/classifier/train/0004.npz, 13, 2
data/classifier/train/0004.npz, 14, 2
data/classifier/train/0004.npz, 15, 2
data/classifier/train/0004.npz, 16, 2
